ar-qwen_range_ratio_high,ar-qwen_range_ratio_low,ar-qwen_ratio,ar-sdar_range_ratio_high,ar-sdar_range_ratio_low,ar-sdar_ratio,block,flash,max_s,median_s,min_s,model,output_tokens,repeats,steps
0.3199626861611963,0.3146695490911674,0.3169888383194703,0.3234064163542683,0.313452075305666,0.3184171144556779,128,auto,2.9408499999999997,2.9408499999999997,2.9408499999999997,sdar,96,1,1
0.2915670829340928,0.2866297953106231,0.2882771003726201,0.2923563894119199,0.28616616138371587,0.28752794646473845,128,auto,6.2511,6.22443,6.20529,sdar,224,3,1
0.294463511388272,0.2920031082896516,0.2936366628249738,0.2943272801311901,0.29283748612622595,0.2935023955914859,128,auto,14.08265,14.06096,14.049790000000002,sdar,480,3,1
0.2798556003540509,0.276168613386616,0.27908760453709514,0.2797261273335808,0.2769577452952349,0.2789599899531346,128,off,13.384030000000001,13.364270000000001,13.28791,sdar,480,3,1
0.4745720593592063,0.46672122215711886,0.47016121660938076,0.47967983661039587,0.4649154520889486,0.47227965096629254,128,auto,4.3618999999999994,4.3618999999999994,4.3618999999999994,sdar,96,1,2
0.4333006540261383,0.42910793936665853,0.430247006164994,0.4344736499954634,0.42841384195511756,0.42912891102109846,128,auto,9.289819999999999,9.289819999999999,9.289819999999999,sdar,224,1,2
0.43861098676248766,0.43596341589053134,0.43805406235763267,0.43840806679520583,0.4372091499305111,0.4378537593487882,128,auto,20.976470000000003,20.976470000000003,20.976470000000003,sdar,480,1,2
0.640721783857391,0.6301223346953659,0.6347666860397937,0.647617815950699,0.6276843567392331,0.6376267934004715,128,auto,5.88902,5.88902,5.88902,sdar,96,1,4
0.6580117420688936,0.6516446723415635,0.6533744627800067,0.659793057453589,0.6505906138196348,0.6516765199622488,128,auto,14.10755,14.10755,14.10755,sdar,224,1,4
0.7039326963008353,0.6996835740517545,0.7030388808019601,0.7036070273048161,0.7016828694367366,0.70271741179788,128,auto,33.66542,33.66542,33.66542,sdar,480,1,4
